frequency_hz,samples,actual_rate_hz,amp_x_g,amp_y_g,amp_z_g,vector_amp_g,rms_x_g,rms_y_g,rms_z_g,max_abs_g
80,200,800.0005981913794,0.044364095379303636,0.03625782941379085,0.4834446050523939,0.4868279873907093,0.05613143335957135,0.05249063882255577,0.3648845372083477,1.8954
85,200,800.0003634175168,0.045907755137540876,0.04475714918420784,0.5373388938102692,0.541150451525368,0.058911223410738976,0.05729177986194876,0.3994058433160435,1.8174
90,200,799.9996044225554,0.04347016681188309,0.04246229740715518,0.5872255387075785,0.5903613600280361,0.05356049065309239,0.05608403064821572,0.43705561851982866,1.8056999999999999
95,200,800.0001993968418,0.042953777933704654,0.031080663399237304,0.6348136266251418,0.6370238419596865,0.048053124016550666,0.045955633906519,0.46957201688319317,1.833
100,200,800.0002251255922,0.04765570797481838,0.03513417890136,0.7176807843543648,0.7201188688412145,0.04914336982493162,0.04741809430744763,0.5325522754995512,1.9968
105,200,800.0006303522582,0.056949689155754275,0.05043838198193284,0.801211298533452,0.8048147876185878,0.05934897640018738,0.05542288339666206,0.59392395587293,1.9811999999999999
110,200,799.999852060153,0.0695810569683391,0.06901107408769211,0.9176206233200506,0.9228389134501461,0.0685137737812624,0.06779268040135306,0.6714013723243349,2.0669999999999997
115,200,799.999990351583,0.09104471505360887,0.08253370264609194,1.017292208718838,1.0246874597318532,0.07800925951289368,0.07707122087880793,0.7459545442878874,2.1761999999999997
120,200,799.9998070351571,0.11713616213871668,0.08638523009082076,1.0884658020404931,1.0981534913982134,0.09524601486545249,0.07763143479126224,0.8062516981251885,2.3049
125,200,799.9995626132646,0.13586523044585871,0.0833986132667437,1.2014425357925704,1.2119731252592212,0.10640162804675499,0.0710022715059173,0.8915394623850086,2.4842999999999997
130,200,799.9998231157473,0.15457341107569564,0.0867259367023562,1.3442897473055562,1.3559237634245198,0.12137799396513352,0.07649837573275658,1.0014028746932973,2.5155
135,200,799.9996462314849,0.18070170854856868,0.08696145806910467,1.523267642552884,1.5364113100047452,0.1413300473705078,0.07879937936145183,1.1292194168618204,2.8196999999999997
140,200,800.0000739698928,0.20766647867084445,0.09207409886755938,1.707460237717111,1.7225049983761425,0.15935276752460242,0.08264392632855726,1.259629496018472,2.8548
145,200,800.0000128642736,0.24293824114271032,0.09642417514597523,1.8752249552368874,1.8933529103960736,0.1860944001736753,0.0855745585965829,1.3991827072594019,3.1044
150,200,800.0004406030735,0.26736061713121273,0.1055115522699776,2.067872047396476,2.0877521863619006,0.20559354463601226,0.08995323580060917,1.5618166522854087,3.3423
155,200,799.9997877385229,0.2835106042287822,0.12728676057300556,2.250180052403352,2.2715392249224515,0.21909726465601978,0.10272801179692906,1.7194224391660569,3.6776999999999997
160,200,800.0003505529542,0.28730419811944435,0.16614383833192195,2.431627439641645,2.4541718526808394,0.22016962796841447,0.1302915800416512,1.8410769575576544,3.6776999999999997
165,200,799.999501508089,0.30226696662296676,0.1852808789950215,2.4211787527504747,2.4469983400082156,0.2292171708227811,0.14475302619893657,1.8087475584458992,3.6582
170,200,799.9997394978556,0.32576390825603896,0.18513265165533216,2.2974515373950997,2.3278057885722103,0.24847794639363868,0.14467270519952963,1.7277715327065089,3.5802
175,200,799.9996880404188,0.3606918970263763,0.17558454702635745,2.319489731424947,2.353924635990012,0.2759342847377795,0.1392916216575857,1.7582524894621934,3.6191999999999998
180,200,799.9995111562163,0.365151736693855,0.18314727593694813,2.3215083595677686,2.357176229949024,0.28788802463414476,0.14730445591019978,1.8152701050531705,3.7167
185,200,800.000276583098,0.3802441335914222,0.2089543573348155,2.395274990199361,2.4342534385832644,0.29938559249903796,0.16648418810730942,1.865552598798543,3.8297999999999996
190,200,799.9999967840414,0.3919106390081656,0.23131609351057938,2.5256085288481036,2.5662812638280834,0.300662794245896,0.18033456617077043,1.9248081999420104,3.8297999999999996
195,200,800.0003602011019,0.4139637040908211,0.25156921320576003,2.61578901166319,2.660264116751464,0.31911876961250646,0.19427667486345343,2.0049370476595394,4.0521
200,200,800.0005403020963,0.40835816524149327,0.2749269839758797,2.6222378138348517,2.668046549433284,0.31867433137138607,0.21609779642328605,2.063325519642441,4.0988999999999995
205,200,799.9997105527267,0.4016266310984288,0.3200025670306873,2.483863321977797,2.53639164877593,0.32726657474259413,0.25762854416339415,2.000987939828162,3.9741
210,200,799.999897085154,0.4107739193708344,0.3794993691712616,2.296167890944991,2.363290495779863,0.3315506938297672,0.3070945976857132,1.8598977639039733,3.8375999999999997
215,200,800.00001608032,0.4352693083979537,0.43965942650531786,2.149012786043436,2.2362950916027136,0.3490397051554452,0.3525594558762394,1.723003623872495,3.6387
220,200,800.0002830151952,0.3432960394993173,0.6155550324259892,2.0010069229769214,2.121506274909986,0.289443312228405,0.5135909555774908,1.5620803342907017,3.3969
225,200,800.000083618034,0.3800791737351306,0.7161668843886921,2.028141075854427,2.1841958264244847,0.3132349716071785,0.5776143632944043,1.5871952943629049,3.4086
230,200,800.0000257288253,0.395786443111345,0.7588281059813671,1.9582486003709987,2.1371019123647272,0.33638684448711725,0.6452492539862017,1.5985985795670372,3.432
235,200,800.0000321609185,0.39225360474483084,0.7874374895972702,1.8768797697468684,2.0728237649505137,0.35056056271313524,0.6819386995881668,1.5825426217191594,3.4671
240,200,800.0002733670494,0.40801241178186887,0.7992978918195127,1.8693361952156475,2.073588449711873,0.3622756918094285,0.6940687786161758,1.5680575281308242,3.4047
245,200,799.9999646232134,0.4295631740056387,0.8464969461869215,1.8613844235622536,2.0894577221484445,0.3709776837597513,0.7103455235806024,1.5358483613937932,3.3266999999999998
250,200,800.0000996986352,0.4352677209374479,0.863803496013127,1.8778653908827774,2.1123429870383044,0.3732622826163929,0.7168907863852066,1.5110160196288445,3.3891
255,200,799.999868140745,0.40767797508606296,0.8240984656556269,1.7700164683239314,1.9945670985464876,0.36114290550937034,0.7113910571345409,1.486848501629453,3.4358999999999997
260,200,800.000106130364,0.34336976295234156,0.7542808338544347,1.6631771522033707,1.8582251236169967,0.3444167256097619,0.6850422368319709,1.4546606209683408,3.2916
265,200,799.9999292463422,0.35346579249795596,0.7294900053872941,1.6345981072696656,1.824556030029151,0.3209247410527116,0.6446561714260942,1.4230157080436598,3.2916
270,200,799.9999356784339,0.2611459150657228,0.6881022967980791,1.5687721884645935,1.732838174531683,0.2848870076907685,0.5995149081130093,1.378265968068573,3.1707
275,200,800.0002315576886,0.26798321463827374,0.627612492888586,1.6079995583473026,1.7468185435822488,0.2736110527331635,0.5388315703814598,1.344238143206404,3.0966
280,200,800.000083618034,0.21502399677150008,0.5778745716728207,1.554623563741278,1.6724319910577135,0.2667865624384969,0.4906080642427314,1.2928855993628163,3.1239
285,200,800.0000611057051,0.18602514575186677,0.5078259874593716,1.40238678953213,1.5030573162209495,0.24963470073239008,0.4471407402597084,1.2457820118861083,3.0147
290,200,799.9995819095224,0.1441328574769501,0.4267037438162974,1.277417421496778,1.3544909133452288,0.24834942775049826,0.40493200805937785,1.1918457604940957,2.9444999999999997
295,200,799.9999453265716,0.11745479762805462,0.39882841319961465,1.2258911680527704,1.2944762989606862,0.24126721320508926,0.384686893862723,1.1451370037419106,3.0107999999999997
300,200,800.0004213067743,0.12416136972383973,0.38970066525937525,1.2109363852615316,1.2781430214907736,0.2364299137752031,0.37023178612728536,1.097762707013565,2.7885
305,200,800.0001157788714,0.14148084811985623,0.4219996710731264,1.1989892378626856,1.278935395272601,0.24245417355657126,0.36516289597931506,1.0456178211330371,2.6597999999999997
310,200,799.9995947740603,0.1429861026559764,0.4251847488268313,1.149645436501278,1.2340630963836068,0.2455728387011682,0.37418576319757274,1.0070708451711576,2.5779
315,200,799.9996012061466,0.14494767700324745,0.41649956475015937,1.0648761993423719,1.1525810324795238,0.25369666071708546,0.3914776014023663,0.9788366639321141,2.574
320,200,799.9999549750752,0.18067737436014444,0.43756031720721406,0.969273167209326,1.0787000590860054,0.25639063246879745,0.4236563376134009,0.9411005818953413,2.5155
325,200,800.0002508543442,0.17534469122005153,0.46744577348208094,0.8745682076659506,1.0070356804728169,0.2628896757914809,0.4593669889725969,0.8886431517430097,2.4257999999999997
330,200,800.0000804019868,0.17390604561231343,0.485155574476366,0.8152948991156606,0.9645335746722453,0.25415965098683546,0.48768078763777456,0.8275494022618833,2.3244
335,200,800.0004373870236,0.19307786800630755,0.5607337593438019,0.7991092952868316,0.99512666419683,0.25903537826134854,0.5282638595048879,0.7687407873633347,2.2698
340,200,800.0001061307296,0.20545718520342157,0.6131888844235316,0.7746501605107996,1.0091066019562531,0.24659478569304735,0.5530569305017342,0.7029072470817183,2.2113
345,200,799.9994854275118,0.1727449276185825,0.607051792721593,0.7053995358084494,0.9465417022948461,0.23606765075079644,0.5626186701941199,0.6416679940808563,2.0162999999999998
350,200,799.9999035176107,0.15191881271335778,0.5478750235180436,0.5706301160770891,0.8055216300170253,0.20477487584601287,0.5600471481437971,0.5797943614411922,1.9617
355,200,800.000083618034,0.12519000280837358,0.5046560157494091,0.4961210685872224,0.7186698447349491,0.18380505847160464,0.5535424134135973,0.5311578705467424,2.0514
360,200,800.0000257288253,0.1029130921923861,0.48981092437347007,0.45507096591806856,0.6764580032801709,0.16111549868882877,0.5340887885546277,0.48103808497872597,1.8135
365,200,799.9998970855196,0.08979014169344018,0.48533681438889265,0.4360651848937942,0.6586098529652783,0.13728248041083024,0.5090874792191907,0.45219341925662737,1.8291
370,200,799.9997298493572,0.07507355148501549,0.5017124694669746,0.4566937183285222,0.6825837622680125,0.11691692650767033,0.4805740086604768,0.43990493218876275,1.7823
375,200,799.9996205024062,0.05481163124837562,0.44943366277469066,0.4353331733750999,0.6281002340359515,0.10400159878458601,0.44835126282609034,0.4354281234230859,1.8954
380,200,800.000090050128,0.043174241568013284,0.39023755409489114,0.4017647264902628,0.5617510651638605,0.09498055668267058,0.4138741552618983,0.41936342205299687,1.7354999999999998
